gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat
006008,2019-12-31,2019,INDL,C,D,STD,INTC,INTEL CORP,USD,31239.0000,4371.0000,136524.0000,77504.0000,25683.0000,37103.0000,37.0000,7760.0000,22310.0000,8828.0000,58865.0000,0.0000,56014.0000,155.0000,77659.0000,2044.0000,A
006008,2020-12-31,2020,INDL,C,D,STD,INTC,INTEL CORP,USD,47249.0000,5156.0000,153091.0000,81038.0000,34251.0000,35997.0000,18.0000,7483.0000,24754.0000,9205.0000,72053.0000,0.0000,57188.0000,0.0000,81038.0000,3843.0000,A
006008,2021-12-31,2021,INDL,C,D,STD,INTC,INTEL CORP,USD,57718.0000,5466.0000,168406.0000,95391.0000,33805.0000,34233.0000,16.0000,7179.0000,27462.0000,9081.0000,73015.0000,0.0000,63794.0000,0.0000,95391.0000,2667.0000,A
006008,2022-12-31,2022,INDL,C,D,STD,INTC,INTEL CORP,USD,50407.0000,10828.0000,182103.0000,101423.0000,37920.0000,33609.0000,10.0000,5902.0000,32155.0000,8540.0000,78817.0000,1863.0000,81347.0000,0.0000,103286.0000,202.0000,A
006066,2010-12-31,2010,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,48116.0000,10853.0000,113452.0000,23046.0000,21846.0000,28625.0000,122.0000,11639.0000,40562.0000,27494.0000,90280.0000,126.0000,14097.0000,0.0000,23172.0000,378.0000,A
006066,2011-12-31,2011,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,50928.0000,10775.0000,116433.0000,20138.0000,22857.0000,29605.0000,131.0000,11111.0000,42123.0000,30668.0000,96197.0000,98.0000,13883.0000,0.0000,20236.0000,549.0000,A
006066,2012-12-31,2012,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,49433.0000,9389.0000,119213.0000,18860.0000,24088.0000,33033.0000,120.0000,13242.0000,43625.0000,32068.0000,100229.0000,124.0000,13996.0000,0.0000,18984.0000,448.0000,A
006066,2013-12-31,2013,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,51350.0000,12758.0000,126223.0000,22792.0000,32856.0000,35055.0000,110.0000,13129.0000,40154.0000,28543.0000,103294.0000,137.0000,13821.0000,0.0000,22929.0000,1741.0000,A
006066,2014-12-31,2014,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,49422.0000,11468.0000,117532.0000,11868.0000,35074.0000,33659.0000,98.0000,12114.0000,39600.0000,30556.0000,105518.0000,146.0000,10771.0000,0.0000,12014.0000,288.0000,A
006066,2015-12-31,2015,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,42504.0000,10752.0000,110495.0000,14262.0000,33428.0000,35508.0000,82.0000,10922.0000,34269.0000,28121.0000,96071.0000,162.0000,10727.0000,0.0000,14424.0000,253.0000,A
